,article,name,image,lat,lon,description,image_url,address
25,Cooper Union,Cooper Union,Cooper Union by David Shankbone crop.jpg,40.729405,-73.990417,Pioneering adult education center; site of famous anti-slavery speech by Abraham Lincoln,https://upload.wikimedia.org/wikipedia/commons/4/4a/Cooper_Union_by_David_Shankbone_crop.jpg,"7 E 7th St, New York, NY 10003, USA"
26,Daily News Building,Daily News Building,Daily News Building.jpg,40.749544,-73.973492,First modernistic free-standing skyscraper designed by Raymond Hood,https://upload.wikimedia.org/wikipedia/commons/7/7c/Daily_News_Building.jpg,"227 E 41st St, New York, NY 10017, USA"
27,The Dakota,Dakota Apartments,1 West 72nd Street (The Dakota) by David Shankbone.jpg,40.776642,-73.976269,Combination of Renaissance architectural styles by Henry Hardenbergh; setting for ''Rosemary's Baby (film)|Rosemary's Baby'' and the shooting death of John Lennon,https://upload.wikimedia.org/wikipedia/commons/9/91/1_West_72nd_Street_%28The_Dakota%29_by_David_Shankbone.jpg,"1 W 72nd St, New York, NY 10023, USA"
28,Dyckman House,Dyckman House,Dyckman House 2007.jpg,40.8674,-73.9233,Only remaining farmhouse in Manhattan,https://upload.wikimedia.org/wikipedia/commons/5/5b/Dyckman_House_2007.jpg,"664 W 204th St, New York, NY 10034, USA"
29,Eldridge Street Synagogue,Eldridge Street Synagogue,EldridgeStreetSynagogue.jpg,40.715007,-73.993982,One of the oldest synagogues in the U.S.; first built by Jews from Eastern Europe,https://upload.wikimedia.org/wikipedia/commons/9/96/EldridgeStreetSynagogue.jpg,"17 Eldridge St, New York, NY 10002, USA"
30,Duke Ellington House,Duke Ellington House,Duke-ellington.jpg,40.832269,-73.94096,"Duke Ellington|Ellington, the legendary jazz composer and bandleader, lived in Apartment 4A from 1939 to 1961",https://upload.wikimedia.org/wikipedia/commons/4/48/Duke-ellington.jpg,"St. Nicholas Ave & W 157 St, New York, NY 10032, USA"
31,Empire State Building,Empire State Building,Empire State Building from the Top of the Rock.jpg,40.748433,-73.985694,World's tallest building from 1931 to 1972 and internationally recognized symbol of New York City,https://upload.wikimedia.org/wikipedia/commons/c/c7/Empire_State_Building_from_the_Top_of_the_Rock.jpg,"14 W 34th St, New York, NY 10001, USA"
32,Equitable Building (Manhattan),Equitable Building,DSCN3512 equitablebuilding e.jpg,40.709722,-74.011111,One of the earliest skyscrapers in Manhattan; profoundly influenced later skyscraper design,https://upload.wikimedia.org/wikipedia/commons/e/e9/DSCN3512_equitablebuilding_e.jpg,"1 Liberty Pl, New York, NY 10038, USA"
33,Hamilton Fish House,Hamilton Fish House,21-stuyvesant.jpg,40.730052,-73.988583,"Home of Hamilton Fish, future Governor and Senator of New York",https://upload.wikimedia.org/wikipedia/commons/2/2e/21-stuyvesant.jpg,"21 Stuyvesant St, New York, NY 10003, USA"
34,Flatiron Building,Flatiron Building,FlatIronBldg.jpg,40.741111,-73.989722,Considered the World's first skyscraper. Distinctive triangular building at Madison Square; world's tallest 1901 to 1911,https://upload.wikimedia.org/wikipedia/commons/d/db/FlatIronBldg.jpg,"175 5th Ave, New York, NY 10010, USA"
35,"Founder's Hall, The Rockefeller University","Founder's Hall, The Rockefeller University",Founders-hall.jpg,40.762471,-73.955074,Building marked the start of John D. Rockefeller Jr.'s putting the vast family fortune to philanthropic purposes,https://upload.wikimedia.org/wikipedia/commons/0/09/Founders-hall.jpg,"1230 York Ave, New York, NY 10065, USA"
36,Henry Clay Frick House,The Frick Collection and Frick Art Reference Library Building ,Henry_C_Frick_House_009.JPG,40.771261,-73.967241,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Henry_C_Frick_House_009.JPG,"895 5th Ave, New York, NY 10021, USA"
37,Governors Island,Governors Island,Castle Williams Governors Island NY.jpg,40.691389,-74.016111,Island in NY Harbor which served various branches of the US Military from 1783 until the late 1990s; future uses are still being decided,https://upload.wikimedia.org/wikipedia/commons/8/84/Castle_Williams_Governors_Island_NY.jpg,"214 Andes Rd, New York, NY 10004, USA"
38,"Grace Church, New York",Grace Church,GraceChurchBroadway.JPG,40.731667,-73.991944,"Gothic Revival architecture|Gothic Revival masterpiece designed by James Renwick, Jr.",https://upload.wikimedia.org/wikipedia/commons/c/ce/GraceChurchBroadway.JPG,"781 Broadway, New York, NY 10003, USA"
39,Grand Central Terminal,Grand Central Terminal,Grand Central Station Main Concourse Jan 2006.jpg,40.7528,-73.976522,Beaux-Arts architecture; historic rail gateway to New York City; largest train station in the world by number of platforms,https://upload.wikimedia.org/wikipedia/commons/7/73/Grand_Central_Station_Main_Concourse_Jan_2006.jpg,"Grand Central Terminal, 89 E 42nd St, New York, NY 10017, USA"
40,Green-Wood Cemetery,Green-Wood Cemetery,Chapel-at-Green-Wood.jpg,40.6522,-73.9911,Popular tourist attraction in the 1850s; most famous New Yorkers who died during the second half of the nineteenth century buried here,https://upload.wikimedia.org/wikipedia/commons/e/e3/Chapel-at-Green-Wood.jpg,"Forest Ave, Brooklyn, NY 11218, USA"
41,Hamilton Grange National Memorial,Hamilton Grange National Memorial,Hamilton-Grange.jpg,40.821389,-73.947222,"Home of Alexander Hamilton: military officer, lawyer, member of the United States Constitutional Convention, American statesman, first United States Secretary of the Treasury, and Founding Father; facade is oldest surviving structure in Manhattan",https://upload.wikimedia.org/wikipedia/commons/a/a0/Hamilton-Grange.jpg,"414 W 141st St, New York, NY 10031, USA"
42,Solomon R. Guggenheim Museum,Solomon R. Guggenheim Museum,NYC - Guggenheim Museum.jpg,40.782883,-73.958992,,https://upload.wikimedia.org/wikipedia/commons/6/6b/NYC_-_Guggenheim_Museum.jpg,"1070 5th Ave, New York, NY 10128, USA"
43,Henry Street Settlement and Neighborhood Playhouse,Henry Street Settlement and Neighborhood Playhouse,Henry-st-settlement.jpg,40.713889,-73.985278,One of the nation's first settlement house|settlement homes where new immigrants and the poor could find assistance,https://upload.wikimedia.org/wikipedia/commons/4/4f/Henry-st-settlement.jpg,"247 Henry St, New York, NY 10002, USA"
44,Matthew Henson Residence,Matthew Henson Residence,246-west-150.jpg,40.825444,-73.93875,"Home of Matthew Henson, African-American polar explorer who may have been the first to reach the North Pole",https://upload.wikimedia.org/wikipedia/commons/3/39/246-west-150.jpg,"246 W 150th St, New York, NY 10039, USA"
45,Hispanic Society of America,Hispanic Society of America,WTM NewYorkDolls 010.jpg,40.833521,-73.946514,Museum of Iberian Art,https://upload.wikimedia.org/wikipedia/commons/a/a2/WTM_NewYorkDolls_010.jpg,"617 W 155th St, New York, NY 10032, USA"
46,Holland Tunnel,Holland Tunnel,Holland tunnel.jpg,40.7275,-74.021389,"Tunnel underneath the Hudson River, connecting Manhattan and New Jersey; civil engineering landmark; one of the earliest ventilated tunnels",https://upload.wikimedia.org/wikipedia/commons/8/8e/Holland_tunnel.jpg,"I-78, New Jersey, USA"
47,USS Intrepid (CV-11),USS Intrepid,USS Intrepid (CV-11) operating in the Philippine Sea in November 1944 (NH 97468).jpg,40.7648,-74.001,One of the most active U.S. ships during World War II; today a museum moored along the West Side,https://upload.wikimedia.org/wikipedia/commons/e/ea/USS_Intrepid_%28CV-11%29_operating_in_the_Philippine_Sea_in_November_1944_%28NH_97468%29.jpg,"Pier 86, 12th Ave & W 46th St, New York, NY 10036, USA"
48,James Weldon Johnson Residence,James Weldon Johnson Residence,187-west-135th.jpg,40.815278,-73.943056,Harlem home of African-American artist-activist James Weldon Johnson,https://upload.wikimedia.org/wikipedia/commons/1/11/187-west-135th.jpg,"187 W 135th St, New York, NY 10030, USA"
49,King Manor,King Manor,Rufus-king-house.jpg,40.703021,-73.80376,"Home of Rufus King, a signer of Declaration of Independence and early U.S. Senator from New York",https://upload.wikimedia.org/wikipedia/commons/8/87/Rufus-king-house.jpg,"150-03 Jamaica Ave, Jamaica, NY 11432, USA"
50,Lettie G. Howard (schooner),''Lettie G. Howard'' (schooner),"Schooner Lettie G. Howard, South Street Seaport Museum, New York (New York County, New York).jpg",40.706111,-74.003333,Last remaining ''Fredonia''-type schooner (once the standard for American fishing boats) at the South Street Seaport,https://upload.wikimedia.org/wikipedia/commons/4/46/Schooner_Lettie_G._Howard%2C_South_Street_Seaport_Museum%2C_New_York_%28New_York_County%2C_New_York%29.jpg,"92 South St, New York, NY 10038, USA"
51,Lorillard Snuff Mill,Lorillard Snuff Mill,Lorillard-snuff-mill.JPG,40.859681,-73.876174,Oldest existing tobacco-manufacturing facility in U.S.,https://upload.wikimedia.org/wikipedia/commons/8/8e/Lorillard-snuff-mill.JPG,"Goldman Stone Mill, Bronx, NY 10467, USA"
52,Low Memorial Library,Low Memorial Library,Low Library Columbia University 8-11-06.jpg,40.80826,-73.96188,First building on Morningside Heights campus; capped by largest freestanding granite dome in U.S.,https://upload.wikimedia.org/wikipedia/commons/2/2a/Low_Library_Columbia_University_8-11-06.jpg,"2960 Broadway, New York, NY 10027, USA"
53,R. H. Macy and Company Store (building),R. H. Macy and Company Store (Macy's),MacysDepartmentStoreNewyork.jpg,40.750278,-73.988333,Largest department store in world for many years,https://upload.wikimedia.org/wikipedia/commons/f/f5/MacysDepartmentStoreNewyork.jpg,"151 W 34th St, New York, NY 10001, USA"
54,330 West 42nd Street,McGraw Hill Building,Mcgraw-hill-42nd-st.jpg,40.757222,-73.991111,Landmark Art Deco building; first U.S. building in International style (architecture)|International Style,https://upload.wikimedia.org/wikipedia/commons/7/7c/Mcgraw-hill-42nd-st.jpg,"320 W 42nd St, New York, NY 10036, USA"
55,Claude McKay Residence,Claude McKay Residence,180-west135th.jpg,40.814167,-73.94166,"The Harlem YMCA, whose residents included African-American writer Claude McKay",https://upload.wikimedia.org/wikipedia/commons/7/71/180-west135th.jpg,"120 W 135th St, New York, NY 10030, USA"
56,Metropolitan Life Insurance Company Tower,Metropolitan Life Insurance Company Tower,Metropolitan Life Insurance Company Tower at Night Light Up.jpg,40.74124,-73.9874,Tallest building in the world 1909 to 1913; still part of the skyline a century later,https://upload.wikimedia.org/wikipedia/commons/e/e6/Metropolitan_Life_Insurance_Company_Tower_at_Night_Light_Up.jpg,"5 Madison Ave, New York, NY 10010, USA"
57,Metropolitan Museum of Art,Metropolitan Museum of Art,"Metropolitan Museum of Art, New York City NY, entrance.jpg",40.77891,-73.96367,One of the world's most important and prestigious art museums,https://upload.wikimedia.org/wikipedia/commons/1/15/Metropolitan_Museum_of_Art%2C_New_York_City_NY%2C_entrance.jpg,"1000 5th Ave, New York, NY 10028, USA"
58,Morgan Library & Museum,J. Pierpont Morgan Library,Jpmorganlibrary.jpg,40.748803,-73.981556,"Office, Library, and now Museum of J. P. Morgan; the Panic of 1907 ended in the Library",https://upload.wikimedia.org/wikipedia/commons/1/13/Jpmorganlibrary.jpg,"24 E 36th St, New York, NY 10016, USA"
59,Morris-Jumel Mansion,Morris-Jumel Mansion,Morris-jumel.jpg,40.834528,-73.938611,Oldest building in Manhattan,https://upload.wikimedia.org/wikipedia/commons/b/bb/Morris-jumel.jpg,"65 Jumel Terrace, New York, NY 10032, USA"
60,National City Bank Building,National City Bank Building,55-wall-street.jpg,40.706039,-74.009174,Home to one of the country's largest and most important banks since 1908,https://upload.wikimedia.org/wikipedia/commons/5/52/55-wall-street.jpg,"57 Wall St, New York, NY 10005, USA"
61,New York Amsterdam News Building,New York Amsterdam News Building,2293-seventh-ave.jpg,40.814944,-73.94472,Influential black newspaper the ''New York Amsterdam News'' was published here 1916-38,https://upload.wikimedia.org/wikipedia/commons/4/4e/2293-seventh-ave.jpg,"205 W 134th St, New York, NY 10030, USA"
62,New York Botanical Garden,New York Botanical Garden,Ny-botanical-haupt-conservatory.JPG,40.863611,-73.878333,"One of the world's leading botanical gardens, with the largest herbarium in the US and second largest in the world after the National Museum of Natural History (France)|French National Museum of Natural History and home to many plant laboratories",https://upload.wikimedia.org/wikipedia/commons/0/07/Ny-botanical-haupt-conservatory.JPG,"2600 Southern Blvd, Bronx, NY 10458, USA"
63,1 Hanover Square,New York Cotton Exchange,1 Hanover Square 001.JPG,40.704444,-74.010167,First commodity market in the U.S.; now 1 Hanover Square,https://upload.wikimedia.org/wikipedia/commons/8/8d/1_Hanover_Square_001.JPG,"57 Stone St, New York, NY 10004, USA"
64,New York Life Building,New York Life Building,Ny-life-bldg.jpg,40.742778,-73.985556,Last significant Cass Gilbert skyscraper in Manhattan,https://upload.wikimedia.org/wikipedia/commons/5/55/Ny-life-bldg.jpg,"51 Madison Ave, New York, NY 10010, USA"
65,New York Public Library Main Branch,New York Public Library,New York Public Library May 2011.JPG,40.753333,-73.982222,One of the largest and most important libraries in the U.S.; listing is for main branch building.,https://upload.wikimedia.org/wikipedia/commons/5/5b/New_York_Public_Library_May_2011.JPG,"476 5th Ave, New York, NY 10018, USA"
66,New York Stock Exchange Building,New York Stock Exchange,2004_-_United_States_-_Manhattan_-_New_York_City_-_New_York_-_New_York_Stock_Exchange_copy_4887745328.jpg,40.706833,-74.011028,One of the first securities markets in the U.S.; still the world's largest,https://upload.wikimedia.org/wikipedia/commons/e/ed/2004_-_United_States_-_Manhattan_-_New_York_City_-_New_York_-_New_York_Stock_Exchange_copy_4887745328.jpg,"2 Broad St, New York, NY 10005, USA"
67,"New York Studio School of Drawing, Painting and Sculpture (building)","New York Studio School of Drawing, Painting and Sculpture",8-14-eighth street.jpg,40.73295,-73.998306,"Original home of the Whitney Museum, the first devoted to 20th-century American art",https://upload.wikimedia.org/wikipedia/commons/8/81/8-14-eighth_street.jpg,"42 W 8th St, New York, NY 10011, USA"
68,New York Yacht Club,New York Yacht Club,Nyyc-2007.jpg,40.755556,-73.981556,Oldest yachting club in U.S.; longtime home of the America's Cup,https://upload.wikimedia.org/wikipedia/commons/9/9b/Nyyc-2007.jpg,"35 W 44th St, New York, NY 10036, USA"
69,Merchant's House Museum,Old Merchant's House,WTM tony 0079.jpg,40.7276,-73.992386,Nineteenth-century family home; preserved inside and out,https://upload.wikimedia.org/wikipedia/commons/8/88/WTM_tony_0079.jpg,"29 E 4th St, New York, NY 10003, USA"
70,"Old Quaker Meeting House (Flushing, Queens)",Old Quaker Meeting House,Old-quaker-house-flushing.jpg,40.763028,-73.830365,Only surviving 17th-century ecclesiastical frame building in New York; in almost continuous use since 1696,https://upload.wikimedia.org/wikipedia/commons/8/82/Old-quaker-house-flushing.jpg,"Flushing Quaker Meeting House, 137-16 Northern Blvd, Flushing, NY 11354, USA"
71,Philosophy Hall,Philosophy Hall,Philohall.JPEG,40.806111,-73.9625,Edwin Armstrong developed FM radio in this Columbia University building,https://upload.wikimedia.org/wikipedia/commons/9/96/Philohall.JPEG,"519 W 114th St, New York, NY 10027, USA"
72,The Players (New York City),Players Club,Players Club.jpg,40.737503,-73.987058,Extensive collection of art and theater memorabilia; interior redone by Stanford White,https://upload.wikimedia.org/wikipedia/commons/0/0e/Players_Club.jpg,"117 E 19th St, New York, NY 10003, USA"
73,Plaza Hotel,Plaza Hotel,Plaza hotel.jpg,40.764712,-73.974574,French Renaissance-style building; outstanding example of American hotel architecture; symbol of elegance; visible from much of lower Central Park; setting for Kay Thompson's popular ''Eloise (books)|Eloise'' series of children's books,https://upload.wikimedia.org/wikipedia/commons/2/28/Plaza_hotel.jpg,"1 W 59th St, New York, NY 10019, USA"
74,Plymouth Church of the Pilgrims,Plymouth Church of the Pilgrims,HWB in the Snow.jpg,40.699272,-73.993556,Important station on Underground Railroad when Henry Ward Beecher was pastor,https://upload.wikimedia.org/wikipedia/commons/2/21/HWB_in_the_Snow.jpg,"75 Hicks St, Brooklyn, NY 11201, USA"
75,Pupin Hall,"Pupin Physics Laboratory, Columbia University",Pupin Hall.jpg,40.810064,-73.961533,Columbia University building; site of first nuclear fission|splitting of uranium atom in U.S. and other milestones in development of atomic bomb,https://upload.wikimedia.org/wikipedia/commons/2/26/Pupin_Hall.jpg,"538 W 120th St, New York, NY 10027, USA"
76,"Quarters A, Brooklyn Navy Yard","Quarters A, Brooklyn Navy Yard",Quartersabloomjeh.jpg,40.702494,-73.981114,Home to Matthew C. Perry|Matthew Perry at the time of his opening of Japan,https://upload.wikimedia.org/wikipedia/commons/1/12/Quartersabloomjeh.jpg,"77 Hudson Ave, Brooklyn, NY 11201, USA"
77,Paul Robeson Home,Paul Robeson Home,555-edgecombe.jpg,40.834361,-73.938972,Home of legendary African-American actor and activist Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/6/69/555-edgecombe.jpg,"12 Jumel Terrace, New York, NY 10032, USA"
78,Jackie Robinson House,Jackie Robinson House,Jackie-robinson-house.jpg,40.648292,-73.915081,Home of baseball great Jackie Robinson,https://upload.wikimedia.org/wikipedia/commons/1/11/Jackie-robinson-house.jpg,"8913 Ditmas Ave, Brooklyn, NY 11236, USA"
79,Rockefeller Center,Rockefeller Center,Radio City Music Hall 1.JPG,40.758611,-73.979167,Successful urban planning project of 20th-century America; changed Midtown Manhattan; originating site of popular NBC television programs ''Today (NBC program)|Today'' and ''Saturday Night Live'',https://upload.wikimedia.org/wikipedia/commons/9/9d/Radio_City_Music_Hall_1.JPG,"30 Rockefeller Plaza, New York, NY 10112, USA"
80,Sailors' Snug Harbor,Sailors' Snug Harbor,Sailors-snug-harbor.jpg,40.6425,-74.102778,First and only home for retired merchant seamen in U.S.,https://upload.wikimedia.org/wikipedia/commons/6/64/Sailors-snug-harbor.jpg,"Unnamed Road, Staten Island, NY 10301, USA"
81,St. Ann and the Holy Trinity Church,St. Ann and the Holy Trinity Church,St-ann-brooklyn-heights.JPG,40.694583,-73.992975,Site of first figural stained-glass windows in U.S.,https://upload.wikimedia.org/wikipedia/commons/a/a7/St-ann-brooklyn-heights.JPG,"159 Montague St, Brooklyn, NY 11201, USA"
82,St. George's Episcopal Church (Manhattan),St. George's Episcopal Church,St-george-episcopal.jpg,40.734397,-73.984964,"Home church of Harry Thacker Burleigh, African-American singer who helped establish the Spiritual (music)|spiritual in the liturgy of many American faiths",https://upload.wikimedia.org/wikipedia/commons/1/13/St-george-episcopal.jpg,"209 E 16th St, New York, NY 10003, USA"
83,"St. Patrick's Cathedral, New York",St. Patrick's Cathedral,Saint Patrick's Cathedral by David Shankbone.jpg,40.758611,-73.976389,First large-scale medieval-style church built in U.S.,https://upload.wikimedia.org/wikipedia/commons/6/62/Saint_Patrick%27s_Cathedral_by_David_Shankbone.jpg,"14 E 51st St, New York, NY 10022, USA"
84,St. Paul's Chapel,St. Paul's Chapel,St-pauls-manhattan.JPG,40.711394,-74.009947,"One of the few surviving colonial-era churches in city; George Washington worshipped here following his inauguration; site of informal memorials following September 11, 2001 terrorist attacks",https://upload.wikimedia.org/wikipedia/commons/c/c7/St-pauls-manhattan.JPG,"199 Fulton St, New York, NY 10007, USA"
85,Margaret Sanger Clinic,Margaret Sanger Clinic,17-west-16.jpg,40.738056,-73.994167,Clinic where Margaret Sanger dispensed birth control,https://upload.wikimedia.org/wikipedia/commons/c/c5/17-west-16.jpg,"21 W 16th St, New York, NY 10011, USA"
86,Schomburg Center for Research in Black Culture,Schomburg Center for Research in Black Culture,Schomburg-center.jpg,40.814444,-73.941389,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Schomburg-center.jpg,"W 135 St/Malcolm X Blvd, New York, NY 10030, USA"
87,Gen. Winfield Scott House,Gen. Winfield Scott House,24-west-12th.jpg,40.735,-73.995833,"Home of Winfield Scott, heroic general in the U.S.-Mexican War and later presidential candidate",https://upload.wikimedia.org/wikipedia/commons/7/7c/24-west-12th.jpg,"28 W 12th St, New York, NY 10011, USA"
88,Seventh Regiment Armory,Seventh Regiment Armory,7th Regiment Armory 001.JPG,40.7675,-73.966111,One of the most impressive collections of 1880s interior decoration outside of a museum; only armory actually owned by the unit for which it was constructed,https://upload.wikimedia.org/wikipedia/commons/6/61/7th_Regiment_Armory_001.JPG,"643 Park Ave, New York, NY 10065, USA"
89,Harry F. Sinclair House,Harry F. Sinclair House,Harry F Sinclair House 9730.JPG,40.77675,-73.963611,"Harry F. Sinclair, the oil industrialist, lived here from 1918 to 1930; now part of the Ukrainian Institute; often used in filmmaking and television production",https://upload.wikimedia.org/wikipedia/commons/d/d4/Harry_F_Sinclair_House_9730.JPG,"2 E 79th St, New York, NY 10075, USA"
